Block Number,Color,Comment Location,Is Meter Violation,Is Warning?,Issue Date,License,Location,Make,Officer,Registration End Month,Registration End Year,State,Style,Under Appeal,Violation Base Amount,Violation Code
2931,White,DIST: OTHER,0,0,5/1/2015 12:25:01 AM,26AM9P,BRADLEY ST,Kenworth,CHAVEZ,05-May,2015,MISSOURI,Tractor,0,46.9,O/n pkg comm/oversize veh 10p-6a
215 S,White,DIST: OTHER,0,0,5/1/2015 1:15:48 AM,AD50833,MADISON AVE,Ford,CHAVEZ,05-May,2015,ARIZONA,U-Haul,0,46.9,O/n pkg comm/oversize veh 10p-6a
358 S,White,DIST: OTHER,0,0,5/1/2015 1:23:09 AM,AD47803,MARENGO AVE,Ford,CHAVEZ,05-May,2015,ARIZONA,U-Haul,0,46.9,O/n pkg comm/oversize veh 10p-6a
251 S,Red,DIST: OTHER,0,0,5/1/2015 2:06:49 AM,5AER295,DE LACEY AVE,Nissan,TENA,12-December,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
155 E,Black,DIST: OTHER,0,0,5/1/2015 2:06:54 AM,5AAB288,HOLLY ST,BMW,CHAVEZ,11-November,2015,CALIFORNIA,Sports Utility Veh,0,46.9,Overnight parking 2am-6am
53 E,Silver,DIST: OLD PASADENA,0,0,5/1/2015 2:08:50 AM,BENZKEN,HOLLY ST,Mercedes-Benz,CHAVEZ,05-May,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
150 N,Black,DIST: OLD PASADENA,0,0,5/1/2015 2:10:35 AM,5RFB720,RAYMOND AVE,Honda,CHAVEZ,08-August,2015,CALIFORNIA,Two Door,0,46.9,Overnight parking 2am-6am
155 S,Beige,DIST: OTHER,0,0,5/1/2015 2:11:09 AM,7HAH587,FAIR OAKS AVE,Saturn,FLORES,10-October,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
50 E,Black,DIST: OTHER,0,0,5/1/2015 2:11:09 AM,SZW63D,GREEN ST,Mitsubishi,TENA,04-April,2015,NEW JERSEY,Four Door,0,46.9,Overnight parking 2am-6am
15 E,Black,DIST: OTHER,0,0,5/1/2015 2:13:22 AM,81880L1,DAYTON ST,Toyota,FLORES,01-January,2016,CALIFORNIA,Truck,0,46.9,Overnight parking 2am-6am
325 S,Red,DIST: OTHER,0,0,5/1/2015 2:13:23 AM,3TQG330,GRAND AVE,Saturn,BENITEZ,12-December,2015,CALIFORNIA,Four Door,0,46.9,Overnight parking 2am-6am
